time,open,high,low,close,volume
1559520000,0.02012,0.02099,0.01873,0.01911,515148781
1559606400,0.01911,0.02198,0.0178,0.02139,1436021143.0999999
1559692800,0.0214,0.02361,0.01954,0.02285,1684301208.5
1559779200,0.0229,0.02514,0.0215,0.02361,1610958057.5999999
1559865600,0.02361,0.02488,0.02231,0.02426,581785344.20000005
1559952000,0.02429,0.02662,0.0233,0.02583,892055754
1560038400,0.02583,0.0276,0.02431,0.02537,1037582796.79999995
1560124800,0.02537,0.02735,0.02388,0.02698,861155174.39999998
1560211200,0.02701,0.02706,0.02332,0.0239,652982968.70000005
1560297600,0.0239,0.02525,0.02281,0.02305,680341982.29999995
1560384000,0.02304,0.02475,0.02221,0.0231,1130423131.5
1560470400,0.02314,0.0233,0.019,0.02055,658163305.29999995
1560556800,0.02053,0.02295,0.02053,0.02179,659353874.39999998
1560643200,0.02179,0.0228,0.02063,0.0224,648967789.39999998
1560729600,0.02239,0.02385,0.02122,0.02175,567072821.39999998
1560816000,0.02175,0.02289,0.02122,0.02247,650343325.29999995
1560902400,0.02249,0.0244,0.02233,0.02309,1270664876.5999999
1560988800,0.02307,0.02376,0.02178,0.02241,684710485.29999995
1561075200,0.02242,0.02343,0.02061,0.021,1001459457.60000002
1561161600,0.02103,0.02276,0.0205,0.02194,1239942559
1561248000,0.02193,0.02238,0.02078,0.02104,942419639.89999998
1561334400,0.02104,0.02169,0.02,0.02072,290258602.60000002
1561420800,0.02072,0.02072,0.01903,0.0192,364473706.30000001
1561507200,0.0192,0.0195,0.01639,0.01795,826569793.29999995
1561593600,0.01788,0.02168,0.01723,0.01942,952899255.39999998
1561680000,0.01948,0.02116,0.01905,0.0192,490034713.69999999
1561766400,0.01925,0.02656,0.01922,0.02412,1290963508
1561852800,0.02407,0.0269,0.02201,0.02217,1018619377.20000005
1561939200,0.02218,0.02313,0.02009,0.02238,549433910.10000002
1562025600,0.02238,0.02265,0.01952,0.02002,394132210.19999999
1562112000,0.01998,0.02041,0.01857,0.0193,402571000
1562198400,0.01926,0.0193,0.017,0.01797,378345924.89999998
1562284800,0.01797,0.01958,0.0176,0.01811,245911827.09999999
1562371200,0.01811,0.01844,0.0175,0.01768,101526675.59999999
1562457600,0.01768,0.0184,0.01712,0.01759,138660572.09999999
1562544000,0.01761,0.01767,0.0165,0.01664,219596457.59999999
1562630400,0.01664,0.01722,0.01505,0.01622,309295834.89999998
1562716800,0.01622,0.01748,0.01477,0.0161,437375040.30000001
1562803200,0.01612,0.01687,0.01418,0.01442,264561118.59999999
1562889600,0.01443,0.0165,0.01409,0.0157,248278116.09999999
1562976000,0.0157,0.01778,0.01515,0.01662,433122420.39999998
1563062400,0.01664,0.01745,0.01417,0.01431,296945768.69999999
1563148800,0.01431,0.01435,0.01288,0.01386,195436667.09999999
1563235200,0.01385,0.01459,0.0118,0.01206,258587967.69999999
1563321600,0.01202,0.014,0.01163,0.01316,252450983.09999999
1563408000,0.01314,0.01425,0.0125,0.01362,224879379.30000001
1563494400,0.01365,0.01392,0.01317,0.01337,82349270
1563580800,0.01343,0.01448,0.01322,0.0139,104993002.09999999
1563667200,0.01395,0.01409,0.0131,0.01345,51976782.7
1563753600,0.01346,0.0136,0.0124,0.01272,67716133.2
1563840000,0.01278,0.01282,0.01145,0.01154,104242721.3
1563926400,0.01146,0.01249,0.01109,0.01193,96196226.90000001
1564012800,0.01191,0.01279,0.0119,0.01218,90884427.59999999
1564099200,0.01218,0.01298,0.0119,0.01277,87262445.59999999
1564185600,0.01275,0.01327,0.01173,0.01198,86377810.40000001
1564272000,0.01198,0.01216,0.01124,0.01179,57836881.2
1564358400,0.01173,0.01196,0.01126,0.01133,50457970.7
1564444800,0.01135,0.01168,0.011,0.01157,53295692.4
1564531200,0.01151,0.01166,0.01112,0.01131,77499188.09999999
